"Espacio";"Asalariados";"Percepciones  por persona";"Salarios";"Salario  Medio Anual";"sexo";"edad";"nacionalidad";"erte"
"Madrid, Comunidad de";2950988;1,32;84436314998;28613;"Total";"Total";"Total";"No"
"Murcia, Región de";630646;1,44;11953274558;18954;"Total";"Total";"Total";"No"
"Rioja, La";119367;1,35;2479437982;20772;"Total";"Total";"Total";"No"
"Ceuta";30973;1,28;738202948;23834;"Total";"Total";"Total";"No"
"Melilla";31634;1,33;718205807;22704;"Total";"Total";"Total";"No"
"Total";1181134;1,32;16733816240;14168;"Total";"Total";"Total";"Sí"
"Andalucía";175232;1,26;2235149436;12755;"Total";"Total";"Total";"Sí"
"Aragón";31303;1,28;522628878;16696;"Total";"Total";"Total";"Sí"
"Asturias, Principado de";26611;1,28;361369648;13580;"Total";"Total";"Total";"Sí"
"Balears,Illes";72312;1,19;1046549717;14473;"Total";"Total";"Total";"Sí"
"Canarias";102699;1,19;1064770463;10368;"Total";"Total";"Total";"Sí"
"Cantabria";13629;1,22;207985829;15261;"Total";"Total";"Total";"Sí"
"Castilla y León";59078;1,29;835152707;14136;"Total";"Total";"Total";"Sí"
"Castilla - La Mancha";37551;1,32;506221277;13481;"Total";"Total";"Total";"Sí"
"Cataluña";253239;1,3;3985007032;15736;"Total";"Total";"Total";"Sí"
"Comunitat Valenciana";133798;1,69;1855143995;13865;"Total";"Total";"Total";"Sí"
"Extremadura";16358;1,33;187816839;11482;"Total";"Total";"Total";"Sí"
"Galicia";66672;1,29;925664277;13884;"Total";"Total";"Total";"Sí"
"Madrid, Comunidad de";158787;1,28;2578996367;16242;"Total";"Total";"Total";"Sí"
"Murcia, Región de";21977;1,37;248059464;11287;"Total";"Total";"Total";"Sí"
"Rioja, La";10150;1,27;155079888;15279;"Total";"Total";"Total";"Sí"
"Ceuta";641;1,25;6163616;9616;"Total";"Total";"Total";"Sí"
"Melilla";1097;1,31;12056809;10991;"Total";"Total";"Total";"Sí"
"Total";34637;1,28;77764088;2245;"Varón";"Menor de 18 años";"Total";"Total"
"Andalucía";6291;1,58;14951969;2377;"Varón";"Menor de 18 años";"Total";"Total"
"Aragón";1291;1,21;3425409;2653;"Varón";"Menor de 18 años";"Total";"Total"
"Asturias, Principado de";357;1,1;759581;2128;"Varón";"Menor de 18 años";"Total";"Total"
"Balears,Illes";1127;1,14;2891662;2566;"Varón";"Menor de 18 años";"Total";"Total"
"Canarias";647;1,12;1866525;2885;"Varón";"Menor de 18 años";"Total";"Total"
"Cantabria";246;1,12;463937;1886;"Varón";"Menor de 18 años";"Total";"Total"
"Castilla y León";1300;1,17;2180651;1677;"Varón";"Menor de 18 años";"Total";"Total"
"Castilla - La Mancha";2609;1,5;5064585;1941;"Varón";"Menor de 18 años";"Total";"Total"
"Cataluña";8906;1,16;20570741;2310;"Varón";"Menor de 18 años";"Total";"Total"
"Comunitat Valenciana";4664;1,14;9020654;1934;"Varón";"Menor de 18 años";"Total";"Total"
"Extremadura";795;1,72;1337579;1682;"Varón";"Menor de 18 años";"Total";"Total"
"Galicia";1082;1,1;2400257;2218;"Varón";"Menor de 18 años";"Total";"Total"
"Madrid, Comunidad de";3781;1,21;9526970;2520;"Varón";"Menor de 18 años";"Total";"Total"
"Murcia, Región de";1125;1,2;2465552;2192;"Varón";"Menor de 18 años";"Total";"Total"
"Rioja, La";296;1,44;554851;1874;"Varón";"Menor de 18 años";"Total";"Total"
"Ceuta";44;1,2;169411;3850;"Varón";"Menor de 18 años";"Total";"Total"
"Melilla";76;1,22;113756;1497;"Varón";"Menor de 18 años";"Total";"Total"
"Total";1027207;1,69;8554818804;8328;"Varón";"De 18 a 25 años";"Total";"Total"
"Andalucía";195429;1,91;1392035002;7123;"Varón";"De 18 a 25 años";"Total";"Total"
"Aragón";32822;1,67;302429696;9214;"Varón";"De 18 a 25 años";"Total";"Total"
"Asturias, Principado de";14191;1,5;115183971;8117;"Varón";"De 18 a 25 años";"Total";"Total"
"Balears,Illes";30066;1,49;261596310;8701;"Varón";"De 18 a 25 años";"Total";"Total"
"Canarias";38551;1,48;284430277;7378;"Varón";"De 18 a 25 años";"Total";"Total"
"Cantabria";10665;1,54;82287145;7716;"Varón";"De 18 a 25 años";"Total";"Total"
"Castilla y León";47000;1,59;394362195;8391;"Varón";"De 18 a 25 años";"Total";"Total"
"Castilla - La Mancha";53838;1,8;453432531;8422;"Varón";"De 18 a 25 años";"Total";"Total"
"Cataluña";213926;1,62;2037876437;9526;"Varón";"De 18 a 25 años";"Total";"Total"
"Comunitat Valenciana";118423;1,65;942689893;7960;"Varón";"De 18 a 25 años";"Total";"Total"
"Extremadura";24914;2,07;174185858;6991;"Varón";"De 18 a 25 años";"Total";"Total"
"Galicia";43540;1,54;361650683;8306;"Varón";"De 18 a 25 años";"Total";"Total"
"Madrid, Comunidad de";149826;1,61;1318542826;8800;"Varón";"De 18 a 25 años";"Total";"Total"
"Murcia, Región de";41793;1,79;332784696;7963;"Varón";"De 18 a 25 años";"Total";"Total"
"Rioja, La";7375;1,72;61112598;8286;"Varón";"De 18 a 25 años";"Total";"Total"
"Ceuta";1899;1,52;16009095;8430;"Varón";"De 18 a 25 años";"Total";"Total"
"Melilla";2949;1,62;24209591;8209;"Varón";"De 18 a 25 años";"Total";"Total"
"Total";2000053;1,57;37276896769;18638;"Varón";"De 26 a 35 años";"Total";"Total"
"Andalucía";393019;1,77;5925956275;15078;"Varón";"De 26 a 35 años";"Total";"Total"
"Aragón";58872;1,52;1164058411;19773;"Varón";"De 26 a 35 años";"Total";"Total"
"Asturias, Principado de";32774;1,46;615342254;18775;"Varón";"De 26 a 35 años";"Total";"Total"
"Balears,Illes";56207;1,46;961664806;17109;"Varón";"De 26 a 35 años";"Total";"Total"
"Canarias";94379;1,43;1368596944;14501;"Varón";"De 26 a 35 años";"Total";"Total"
"Cantabria";21002;1,45;375340223;17872;"Varón";"De 26 a 35 años";"Total";"Total"
"Castilla y León";91617;1,48;1697500778;18528;"Varón";"De 26 a 35 años";"Total";"Total"
"Castilla - La Mancha";96327;1,62;1676485273;17404;"Varón";"De 26 a 35 años";"Total";"Total"
"Cataluña";359198;1,49;7804664129;21728;"Varón";"De 26 a 35 años";"Total";"Total"
"Comunitat Valenciana";217144;1,55;3821986998;17601;"Varón";"De 26 a 35 años";"Total";"Total"
